cell_index,status,classes,land_TA,land_NP,land_PD,land_AREA_MN,land_LPI,land_ED,land_SHAPE_MN,cls_1_CA,cls_1_PLAND,cls_1_NP,cls_1_PD,cls_1_AREA_MN,cls_1_LPI,cls_1_ED,cls_1_PERIM_MN,cls_1_SHAPE_MN,cls_1_CORE_MN,cls_6_CA,cls_6_PLAND,cls_6_NP,cls_6_PD,cls_6_AREA_MN,cls_6_LPI,cls_6_ED,cls_6_PERIM_MN,cls_6_SHAPE_MN,cls_6_CORE_MN,cls_4_CA,cls_4_PLAND,cls_4_NP,cls_4_PD,cls_4_AREA_MN,cls_4_LPI,cls_4_ED,cls_4_PERIM_MN,cls_4_SHAPE_MN,cls_4_CORE_MN,cls_10_CA,cls_10_PLAND,cls_10_NP,cls_10_PD,cls_10_AREA_MN,cls_10_LPI,cls_10_ED,cls_10_PERIM_MN,cls_10_SHAPE_MN,cls_10_CORE_MN,cls_3_CA,cls_3_PLAND,cls_3_NP,cls_3_PD,cls_3_AREA_MN,cls_3_LPI,cls_3_ED,cls_3_PERIM_MN,cls_3_SHAPE_MN,cls_3_CORE_MN,cls_7_CA,cls_7_PLAND,cls_7_NP,cls_7_PD,cls_7_AREA_MN,cls_7_LPI,cls_7_ED,cls_7_PERIM_MN,cls_7_SHAPE_MN,cls_7_CORE_MN,cls_11_CA,cls_11_PLAND,cls_11_NP,cls_11_PD,cls_11_AREA_MN,cls_11_LPI,cls_11_ED,cls_11_PERIM_MN,cls_11_SHAPE_MN,cls_11_CORE_MN,cls_5_CA,cls_5_PLAND,cls_5_NP,cls_5_PD,cls_5_AREA_MN,cls_5_LPI,cls_5_ED,cls_5_PERIM_MN,cls_5_SHAPE_MN,cls_5_CORE_MN,cls_9_CA,cls_9_PLAND,cls_9_NP,cls_9_PD,cls_9_AREA_MN,cls_9_LPI,cls_9_ED,cls_9_PERIM_MN,cls_9_SHAPE_MN,cls_9_CORE_MN,cls_2_CA,cls_2_PLAND,cls_2_NP,cls_2_PD,cls_2_AREA_MN,cls_2_LPI,cls_2_ED,cls_2_PERIM_MN,cls_2_SHAPE_MN,cls_2_CORE_MN,cls_8_CA,cls_8_PLAND,cls_8_NP,cls_8_PD,cls_8_AREA_MN,cls_8_LPI,cls_8_ED,cls_8_PERIM_MN,cls_8_SHAPE_MN,cls_8_CORE_MN,dist_m_estrada,dist_m_mineracao,dist_m_hidrografia,dist_m_indigena,dist_m_lixao,pop_mean,pop_sum,built_mean,built_sum,alerts,n_alerts
5586,ok,['NATURAL_NAO_FLORESTAL(3)'],4000000.0,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,97.5609756097561,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,4000.0,0.5,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38964.12953512659,180880.1383292106,11401.433455344595,9394.731196606594,59829.54016952864,0.0,0.0,0.0,0.0,[],0
5587,ok,['NATURAL_NAO_FLORESTAL(3)'],4000000.0,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,97.5609756097561,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,4000.0,0.5,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40954.71857079415,181367.39831782537,13394.508233247956,11192.645033704435,61661.12038490473,0.0,0.0,0.0,0.0,[],0
5588,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'NATURAL_NAO_FLORESTAL(3)']",4000000.0,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,97.5609756097561,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,4000.0,0.5,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42498.104322870655,181875.20845006115,15389.38000000134,12990.558870802228,63502.863379112125,0.0,0.0,0.0,0.0,[],0
5589,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'NATURAL_NAO_FLORESTAL(3)']",4000000.0,3.0,0.7317073170731708,1333333.3333333333,54.32926829268293,37.073170731707314,1.3782374506534107,2227500.0,54.32926829268293,1.0,0.2439024390243902,2227500.0,54.32926829268293,15.365853658536585,6300.0,1.0552897060221726,1915000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772500.0,43.23170731707317,2.0,0.4878048780487805,886250.0,39.51219512195122,21.70731707317073,4450.0,1.5397113229690294,731250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43937.46618094934,182403.5353959174,17385.43018617435,14788.472707900224,65353.90996390861,0.0,0.0,0.0,0.0,[],0
5590,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'NATURAL_NAO_FLORESTAL(3)']",4000000.0,2.0,0.5,2000000.0,90.125,15.5,0.8206456483317085,395000.0,9.875,1.0,0.25,395000.0,9.875,7.75,3100.0,1.2331137904723817,315000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3605000.0,90.125,1.0,0.25,3605000.0,90.125,7.75,3100.0,0.4081775061910355,3517500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45419.30203962339,182952.20141093188,19382.29472307767,16586.386544998226,67213.49148642085,0.0,0.0,0.0,0.0,[],0
5591,ok,['NATURAL_NAO_FLORESTAL(3)'],4000000.0,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,97.5609756097561,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,4000.0,0.5,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46939.58948617881,183521.0240743078,20183.31464014891,18384.300382095968,69080.91869698625,0.0,0.0,0.0,0.0,[],0
5592,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'NATURAL_NAO_FLORESTAL(3)']",4000000.0,3.0,0.7317073170731708,1333333.3333333333,68.47560975609757,28.536585365853657,1.1534831623599875,1155000.0,28.17073170731707,1.0,0.2439024390243902,1155000.0,28.17073170731707,13.414634146341465,5500.0,1.2794157892978977,915000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845000.0,69.39024390243902,2.0,0.4878048780487805,1422500.0,68.47560975609757,15.121951219512194,3100.0,1.0905168488910324,1341250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48494.71233542208,184109.81655918973,19174.411038002327,20182.214219193043,70955.57214372959,0.0,0.0,0.0,0.0,[],0
5593,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'NATURAL_NAO_FLORESTAL(3)']",4000000.0,2.0,0.4878048780487805,2000000.0,83.84146341463415,27.317073170731707,1.271186584144612,562500.0,13.719512195121952,1.0,0.2439024390243902,562500.0,13.719512195121952,12.682926829268292,5200.0,1.7333333333333334,427500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3437500.0,83.84146341463415,1.0,0.2439024390243902,3437500.0,83.84146341463415,14.634146341463415,6000.0,0.8090398349558905,3197500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50081.42557735276,184718.3879034127,18328.935796859743,21980.128056291866,72836.89386889449,0.0,0.0,0.0,0.0,[],0
5594,ok,['NATURAL_NAO_FLORESTAL(3)'],4000000.0,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,97.5609756097561,1.0,0.2439024390243902,4000000.0,97.5609756097561,9.75609756097561,4000.0,0.5,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51696.82051368716,185346.5432799116,17670.363217446502,23778.04189338976,74724.38021618566,0.0,0.0,0.0,0.0,[],0
5595,ok,['NATURAL_NAO_FLORESTAL(3)'],1597500.0,1.0,0.25,1597500.0,39.9375,14.25,1.1274425752841606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597500.0,39.9375,1.0,0.25,1597500.0,39.9375,14.25,5700.0,1.1274425752841606,1447500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53338.29126048976,185994.0842661094,17220.15055182639,25575.95573048755,76617.57558757352,0.0,0.0,0.0,0.0,[],0
